,Airport,FAA REGION,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay,Arrival Percentage,Departure Percentage,No Diversion Percentage,Overall Chance of No Problems
197,DAL,ASW,654.0,733.0,79.0,115.0,59618.0,59515.0,0.6465,0.611,0.7078,18.04,10.31,2.28,20.04,2.52,1.36,2.47,16.19,0.987683777199,0.989030158677,0.996743135823,0.991152357233
198,DFW,ASW,5535.0,6147.0,589.0,1154.0,396314.0,394112.0,0.8051,0.7152,0.818,11.21,18.02,6.61,16.46,2.42,4.63,4.34,11.37,0.984402910848,0.986033801481,0.995589719974,0.988675477434
199,DFW,ASW,4140.0,4541.0,582.0,889.0,350842.0,349641.0,0.7909,0.7238,0.8128,11.63,17.01,5.27,15.75,2.49,5.03,3.98,11.23,0.987012392711,0.988199816442,0.995800040829,0.990337416661
200,DFW,ASW,5502.0,5839.0,551.0,1085.0,343597.0,342755.0,0.7606,0.6959,0.7891,13.47,16.77,5.2,17.5,2.02,4.1,3.84,12.71,0.982964508176,0.983987054602,0.99523276686,0.987394776546
201,DFW,ASW,9372.0,9767.0,600.0,1948.0,337258.0,336365.0,0.7186,0.6556,0.7341,17.25,16.84,5.18,21.59,2.57,4.44,4.98,17.23,0.97096309069,0.972211185502,0.992434937643,0.978536404612
202,DFW,ASW,7272.0,7716.0,635.0,1250.0,322443.0,321755.0,0.7479,0.693,0.7702,14.25,15.86,4.4,17.77,2.49,4.33,4.32,14.05,0.976019020683,0.97744717671,0.994147762023,0.982537986472
203,DFW,ASW,5101.0,5435.0,651.0,1299.0,314983.0,314726.0,0.7542,0.7045,0.7958,14.64,15.43,4.04,17.79,2.72,3.68,3.73,13.06,0.982731010466,0.983805475216,0.993806663078,0.986781049587
204,DFW,ASW,4507.0,4799.0,719.0,1234.0,321172.0,320558.0,0.7897,0.7456,0.8251,12.31,14.82,3.61,15.04,2.17,3.67,2.91,10.95,0.98502923028,0.985967020786,0.993913328035,0.988303193034
205,DFW,ASW,6114.0,6403.0,764.0,1122.0,318711.0,317906.0,0.7924,0.7541,0.8304,12.2,14.35,3.26,14.56,1.9,3.32,2.86,11.05,0.979858826194,0.980816476369,0.994074930453,0.984916744338
206,DFW,ASW,4980.0,5291.0,663.0,1125.0,319889.0,319208.0,0.7913,0.7512,0.8234,12.3,14.46,3.38,14.7,2.0,3.64,2.97,11.6,0.983424600887,0.984432099885,0.994404605248,0.98742043534
207,DFW,ASW,7150.0,7467.0,707.0,1170.0,333290.0,331439.0,0.7457,0.6982,0.7884,15.05,14.67,3.57,17.85,2.21,4.21,3.55,13.99,0.977470967508,0.978547211137,0.994352585791,0.983456921479
208,DFW,ASW,6830.0,7324.0,741.0,1164.0,334660.0,334397.0,0.7504,0.699,0.766,14.82,15.01,3.96,17.94,2.62,4.95,4.44,15.98,0.978097889634,0.979591226917,0.994305417924,0.983998178158
209,PHX,AWP,1578.0,1939.0,355.0,214.0,240020.0,239521.0,0.7534,0.6639,0.7905,12.68,14.04,4.85,16.82,3.8,1.6,2.84,11.56,0.991904676417,0.993425547871,0.997626897387,0.994319040558
210,PHX,AWP,1382.0,1723.0,296.0,190.0,249530.0,248195.0,0.7483,0.6443,0.8026,12.44,14.42,5.24,16.98,3.87,1.92,2.51,10.82,0.993057877878,0.994461587785,0.99804711437,0.995188860011
211,PHX,AWP,1952.0,2561.0,500.0,340.0,245896.0,244854.0,0.7801,0.6797,0.7915,11.64,14.84,5.57,16.15,3.58,2.44,3.19,11.31,0.98954070589,0.992061684615,0.996576668365,0.992726352956
212,PHX,AWP,2402.0,3121.0,467.0,253.0,240059.0,239897.0,0.7679,0.6578,0.7722,12.87,14.8,5.59,17.76,2.97,2.58,3.37,12.46,0.986990249982,0.989994126444,0.996999724975,0.9913280338
213,PHX,AWP,1875.0,2554.0,442.0,333.0,226663.0,226405.0,0.8033,0.7129,0.8009,10.96,15.1,5.44,15.22,2.45,2.25,3.56,11.07,0.988719330403,0.991727807362,0.996578879992,0.992342005919
214,PHX,AWP,1210.0,1714.0,427.0,266.0,208700.0,208786.0,0.8255,0.7496,0.8319,9.34,14.63,4.5,12.75,2.07,2.16,3.18,9.07,0.991790637303,0.994202204121,0.996680128196,0.994224323207
215,PHX,AWP,1446.0,1917.0,418.0,266.0,205899.0,206051.0,0.8307,0.7509,0.8452,9.11,14.94,4.88,12.76,1.76,2.3,2.59,8.52,0.990696478056,0.992977139277,0.996679208642,0.993450941992
